Validation report
Format: glTF 2.0
Generator: mc GltfExporter Phase11
Stats:
174 draw calls
1 animations
7 materials
245691 vertices
124023 triangles
Extensions:
None
Report generated byKhronosGroup/glTF-Validator 2.0.0-dev.3.10.

Error	Message	Pointer
UNUSED_OBJECT	This object may be unused.	/meshes/87/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/88/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/89/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/90/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/91/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/92/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/93/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/94/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/95/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/96/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/97/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/98/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/99/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/100/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/101/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/102/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/103/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/104/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/105/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/106/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/107/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/108/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/109/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/110/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/111/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/112/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/113/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/114/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/115/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/116/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/117/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/118/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/119/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/120/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/121/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/122/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/123/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/124/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/125/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/126/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/127/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/128/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/129/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/130/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/131/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/132/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/133/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/134/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/135/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/136/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/137/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/138/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/139/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/140/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/141/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/142/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/143/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/144/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/145/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/146/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/147/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/148/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/149/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/150/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/151/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/152/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/153/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/154/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/155/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/156/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/157/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/158/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/159/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/160/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/161/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/162/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/163/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/164/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/165/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/166/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/167/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/168/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/169/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/170/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/171/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/172/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/173/primitives/0/attributes/TEXCOORD_0
